"","algo","TSS","ROC","Accuracy"
"1","GLM",0.776,0.925,0.893
"2","RF",0.883,0.982,0.943
"3","XGBOOST",0.872,0.972,0.937
"4","GLM",0.779,0.918,0.881
"5","RF",0.941,0.995,0.969
"6","XGBOOST",0.941,0.99,0.969
"7","GLM",0.846,0.962,0.925
"8","RF",0.898,0.989,0.95
"9","XGBOOST",0.938,0.99,0.969
"10","GLM",0.84,0.973,0.925
"11","RF",0.93,0.997,0.962
"12","XGBOOST",0.938,0.998,0.969
"13","GLM",0.901,0.989,0.956
"14","RF",0.978,0.999,0.975
"15","XGBOOST",0.949,0.999,0.975
"16","GLM",0.617,0.809,0.799
"17","RF",0.938,0.995,0.969
"18","XGBOOST",0.974,0.996,0.987
"19","GLM",0.805,0.929,0.899
"20","RF",0.898,0.985,0.95
"21","XGBOOST",0.945,0.97,0.975
"22","GLM",0.759,0.88,0.887
"23","RF",0.904,0.987,0.95
"24","XGBOOST",0.923,0.979,0.962
"25","GLM",0.847,0.965,0.931
"26","RF",0.927,0.995,0.962
"27","XGBOOST",0.938,0.989,0.969
"28","GLM",0.726,0.863,0.868
"29","RF",0.904,0.986,0.95
"30","XGBOOST",0.949,0.98,0.975
"31","GLM",0.795,0.939,0.899
"32","RF",0.915,0.985,0.956
"33","XGBOOST",0.949,0.979,0.975
"34","GLM",0.805,0.945,0.899
"35","RF",0.963,0.992,0.981
"36","XGBOOST",0.974,0.991,0.987
"37","GLM",0.86,0.953,0.925
"38","RF",0.933,0.999,0.962
"39","XGBOOST",0.893,0.994,0.943
"40","GLM",0.762,0.925,0.881
"41","RF",0.908,0.995,0.95
"42","XGBOOST",0.904,0.99,0.95
"43","GLM",0.793,0.967,0.906
"44","RF",0.923,0.996,0.962
"45","XGBOOST",0.901,0.994,0.95
