"","algo","TSS","ROC","Accuracy"
"1","GLM",0.838,0.931,0.916
"2","RF",0.909,0.992,0.956
"3","XGBOOST",0.907,0.991,0.956
"4","GLM",0.836,0.951,0.916
"5","RF",0.887,0.991,0.946
"6","XGBOOST",0.929,0.989,0.966
"7","GLM",0.785,0.885,0.901
"8","RF",0.962,0.993,0.98
"9","XGBOOST",0.907,0.987,0.956
"10","GLM",0.825,0.958,0.931
"11","RF",0.876,0.985,0.941
"12","XGBOOST",0.865,0.98,0.936
"13","GLM",0.767,0.941,0.892
"14","RF",0.849,0.987,0.931
"15","XGBOOST",0.905,0.979,0.956
"16","GLM",0.792,0.936,0.901
"17","RF",0.947,0.985,0.97
"18","XGBOOST",0.885,0.984,0.941
"19","GLM",0.771,0.936,0.892
"20","RF",0.922,0.991,0.961
"21","XGBOOST",0.898,0.988,0.951
"22","GLM",0.84,0.962,0.921
"23","RF",0.916,0.992,0.961
"24","XGBOOST",0.918,0.983,0.961
"25","GLM",0.738,0.919,0.877
"26","RF",0.905,0.995,0.956
"27","XGBOOST",0.918,0.996,0.961
"28","GLM",0.902,0.989,0.951
"29","RF",0.88,0.996,0.946
"30","XGBOOST",0.907,0.988,0.956
"31","GLM",0.869,0.966,0.936
"32","RF",0.913,0.998,0.961
"33","XGBOOST",0.969,0.998,0.985
"34","GLM",0.896,0.993,0.951
"35","RF",0.944,0.999,0.97
"36","XGBOOST",0.936,0.998,0.97
"37","GLM",0.845,0.953,0.926
"38","RF",0.893,0.989,0.951
"39","XGBOOST",0.916,0.99,0.961
"40","GLM",0.827,0.931,0.906
"41","RF",0.831,0.989,0.921
"42","XGBOOST",0.887,0.99,0.946
"43","GLM",0.796,0.913,0.901
"44","RF",0.9,0.984,0.951
"45","XGBOOST",0.909,0.988,0.956
