"","algo","TSS","ROC","Accuracy"
"1","GLM",0.875,0.984,0.973
"2","RF",0.911,0.995,0.97
"3","XGBOOST",0.904,0.985,0.973
"4","GLM",0.83,0.915,0.926
"5","RF",0.907,0.991,0.983
"6","XGBOOST",0.907,0.986,0.983
"7","GLM",0.926,0.988,0.976
"8","RF",0.927,0.99,0.978
"9","XGBOOST",0.908,0.985,0.976
"10","GLM",0.867,0.934,0.949
"11","RF",0.896,0.982,0.981
"12","XGBOOST",0.872,0.968,0.976
"13","GLM",0.881,0.94,0.938
"14","RF",0.942,0.991,0.986
"15","XGBOOST",0.952,0.985,0.99
"16","GLM",0.886,0.943,0.973
"17","RF",0.981,0.998,0.992
"18","XGBOOST",0.972,0.992,0.992
"19","GLM",0.911,0.955,0.963
"20","RF",0.946,0.997,0.985
"21","XGBOOST",0.916,0.993,0.983
"22","GLM",0.893,0.959,0.98
"23","RF",0.931,0.985,0.988
"24","XGBOOST",0.963,0.987,0.992
"25","GLM",0.886,0.962,0.976
"26","RF",0.929,0.991,0.986
"27","XGBOOST",0.908,0.985,0.976
"28","GLM",0.851,0.925,0.966
"29","RF",0.971,0.999,0.986
"30","XGBOOST",0.972,0.998,0.992
"31","GLM",0.875,0.937,0.971
"32","RF",0.964,0.997,0.986
"33","XGBOOST",0.95,0.996,0.988
"34","GLM",0.892,0.946,0.954
"35","RF",0.971,0.996,0.985
"36","XGBOOST",0.955,0.997,0.985
"37","GLM",0.919,0.98,0.978
"38","RF",0.963,0.998,0.992
"39","XGBOOST",0.963,0.997,0.992
"40","GLM",0.914,0.957,0.958
"41","RF",0.933,0.999,0.99
"42","XGBOOST",0.955,0.999,0.985
"43","GLM",0.887,0.943,0.943
"44","RF",0.946,0.993,0.985
"45","XGBOOST",0.95,0.994,0.988
