"","algo","TSS","ROC","Accuracy"
"1","GLM",0.971,0.985,0.993
"2","RF",0.989,1,1
"3","XGBOOST",0.996,0.998,0.996
"4","GLM",0.987,0.994,0.998
"5","RF",0.988,1,0.999
"6","XGBOOST",0.988,0.994,0.999
"7","GLM",0.976,0.988,0.998
"8","RF",0.988,1,0.999
"9","XGBOOST",0.989,1,1
"10","GLM",1,1,1
"11","RF",0.988,1,0.999
"12","XGBOOST",0.978,0.994,1
"13","GLM",0.978,0.989,1
"14","RF",0.989,1,1
"15","XGBOOST",0.989,1,1
"16","GLM",1,1,1
"17","RF",0.988,1,0.999
"18","XGBOOST",1,1,1
"19","GLM",0.967,0.984,0.989
"20","RF",0.988,0.994,0.999
"21","XGBOOST",0.988,0.994,0.999
"22","GLM",0.978,0.989,1
"23","RF",0.978,0.994,1
"24","XGBOOST",0.978,0.989,1
"25","GLM",0.901,0.95,0.924
"26","RF",0.967,1,0.999
"27","XGBOOST",0.978,0.989,1
"28","GLM",0.973,0.986,0.995
"29","RF",0.977,1,0.999
"30","XGBOOST",1,1,1
"31","GLM",0.962,0.981,0.995
"32","RF",0.977,1,0.999
"33","XGBOOST",1,1,1
"34","GLM",0.958,0.979,0.991
"35","RF",0.967,0.994,0.999
"36","XGBOOST",0.978,0.994,1
"37","GLM",0.999,0.999,0.999
"38","RF",0.978,1,1
"39","XGBOOST",0.967,0.989,1
"40","GLM",0.99,0.995,0.99
"41","RF",0.999,1,0.999
"42","XGBOOST",0.999,1,0.999
"43","GLM",1,1,1
"44","RF",1,1,1
"45","XGBOOST",1,1,1
