"","algo","TSS","ROC","Accuracy"
"1","GLM",0.862,0.965,0.986
"2","RF",0.887,0.998,0.993
"3","XGBOOST",0.94,0.987,0.993
"4","GLM",0.846,0.97,0.982
"5","RF",0.876,0.998,0.991
"6","XGBOOST",0.931,0.987,0.994
"7","GLM",0.879,0.982,0.984
"8","RF",0.875,0.998,0.992
"9","XGBOOST",0.885,0.986,0.991
"10","GLM",0.873,0.98,0.983
"11","RF",0.942,0.999,0.995
"12","XGBOOST",0.953,0.993,0.995
"13","GLM",0.844,0.922,0.962
"14","RF",0.941,0.998,0.994
"15","XGBOOST",0.908,0.997,0.993
"16","GLM",0.858,0.968,0.987
"17","RF",0.931,0.998,0.995
"18","XGBOOST",0.915,0.992,0.99
"19","GLM",0.813,0.952,0.983
"20","RF",0.887,0.991,0.993
"21","XGBOOST",0.897,0.985,0.993
"22","GLM",0.902,0.984,0.982
"23","RF",0.92,0.998,0.994
"24","XGBOOST",0.931,0.993,0.994
"25","GLM",0.784,0.892,0.875
"26","RF",0.866,0.991,0.991
"27","XGBOOST",0.887,0.979,0.993
"28","GLM",0.748,0.874,0.861
"29","RF",0.897,0.997,0.993
"30","XGBOOST",0.898,0.989,0.993
"31","GLM",0.767,0.884,0.889
"32","RF",0.908,0.997,0.993
"33","XGBOOST",0.942,0.987,0.995
"34","GLM",0.776,0.888,0.968
"35","RF",0.876,0.992,0.992
"36","XGBOOST",0.907,0.98,0.992
"37","GLM",0.785,0.947,0.983
"38","RF",0.855,0.991,0.993
"39","XGBOOST",0.887,0.975,0.993
"40","GLM",0.804,0.902,0.964
"41","RF",0.897,0.991,0.992
"42","XGBOOST",0.898,0.974,0.993
"43","GLM",0.856,0.964,0.985
"44","RF",0.832,0.997,0.991
"45","XGBOOST",0.841,0.979,0.99
