"","algo","TSS","ROC","Accuracy"
"1","GLM",0.913,0.981,0.988
"2","RF",0.93,0.999,0.996
"3","XGBOOST",0.93,0.999,0.994
"4","GLM",0.903,0.985,0.988
"5","RF",0.843,0.991,0.993
"6","XGBOOST",0.863,0.975,0.992
"7","GLM",0.88,0.94,0.936
"8","RF",0.863,0.992,0.992
"9","XGBOOST",0.862,0.991,0.991
"10","GLM",0.902,0.96,0.984
"11","RF",0.93,0.998,0.994
"12","XGBOOST",0.963,0.994,0.996
"13","GLM",0.903,0.969,0.987
"14","RF",0.897,0.992,0.994
"15","XGBOOST",0.919,0.975,0.994
"16","GLM",0.927,0.969,0.987
"17","RF",0.897,0.998,0.994
"18","XGBOOST",0.896,0.98,0.993
"19","GLM",0.902,0.98,0.986
"20","RF",0.886,0.997,0.994
"21","XGBOOST",0.876,0.986,0.994
"22","GLM",0.867,0.956,0.988
"23","RF",0.841,0.98,0.992
"24","XGBOOST",0.853,0.964,0.993
"25","GLM",0.91,0.987,0.986
"26","RF",0.853,0.992,0.993
"27","XGBOOST",0.908,0.981,0.994
"28","GLM",0.666,0.833,0.812
"29","RF",0.899,0.993,0.996
"30","XGBOOST",0.909,0.975,0.995
"31","GLM",0.893,0.946,0.948
"32","RF",0.83,0.98,0.992
"33","XGBOOST",0.885,0.964,0.993
"34","GLM",0.909,0.981,0.986
"35","RF",0.897,0.986,0.994
"36","XGBOOST",0.929,0.981,0.994
"37","GLM",0.826,0.937,0.986
"38","RF",0.911,0.987,0.997
"39","XGBOOST",0.909,0.974,0.995
"40","GLM",0.903,0.972,0.989
"41","RF",0.918,0.992,0.994
"42","XGBOOST",0.919,0.986,0.994
"43","GLM",0.886,0.969,0.985
"44","RF",0.906,0.99,0.991
"45","XGBOOST",0.864,0.973,0.993
