gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
921334935,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbii,,DE,Naherholungsgebiet mit Badeseen bei Erlabrunn,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,49.851433,9.856968,250.0,,,,,,2011-08-24T00:00:00,24,8,2011,4408321,4408321,HUMAN_OBSERVATION,naturgucker,naturgucker,-1322313254,,,,CC_BY_4_0,,-262660594,,,2023-10-21T16:07:08.229Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
921333320,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbii,,AT,Zwischen Reichs- und Brigittenauerbrücke Wien,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,48.236683,16.400002,25.0,,,,,,2012-08-19T00:00:00,19,8,2012,4408321,4408321,HUMAN_OBSERVATION,naturgucker,naturgucker,381661493,,,,CC_BY_4_0,,2074698723,,,2023-10-21T16:04:46.229Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
921332422,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbii,,DE,Alsdorfer Weiher,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,50.862675,6.153717,250.0,,,,,,2004-06-20T00:00:00,20,6,2004,4408321,4408321,HUMAN_OBSERVATION,naturgucker,naturgucker,382345617,,,,CC_BY_4_0,,-1868421630,,,2023-10-21T16:04:51.673Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
921329701,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbii,,DE,NSG Mittleres Broichbachtal,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,50.861851,6.162386,250.0,,,,,,2001-09-18T00:00:00,18,9,2001,4408321,4408321,HUMAN_OBSERVATION,naturgucker,naturgucker,-266631636,,,,CC_BY_4_0,,-1868421630,,,2023-10-21T16:05:24.901Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
79995914,427a6290-0c65-11dd-84d2-b8a03c50a862,MZLU:Evertebrata:L954/3637,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbii Lankester; 1880,Lankester; 1880,CZ,River Vltava; N of Prague,Bohemia,PRESENT,,ee6a779a-dce6-4f16-ae3d-84f495def86e,,,,,,,,,1954-01-01T00:00:00,,,1954,4408321,4408321,PRESERVED_SPECIMEN,MZLU,Evertebrata,L954/3637,,,,CC_BY_NC_4_0,,,,,2023-10-28T03:05:18.764Z,,
729653722,7201065d-95ac-4706-bb2b-9fd04209fc8d,urn:catalog:OMNH:Iv:1140,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,,JP,,Osaka,PRESENT,,c3367060-856b-11d9-8486-b8a03c50a862,34.842602,135.483,,,,,,,1988-08-30T00:00:00,30,8,1988,4408321,4408321,PRESERVED_SPECIMEN,OMNH,Iv,1140,,,,CC_BY_NC_4_0,,Masatomo KAKUTANI,,,2023-09-07T06:18:43.303Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
729653721,7201065d-95ac-4706-bb2b-9fd04209fc8d,urn:catalog:OMNH:Iv:1139,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,,JP,,Osaka,PRESENT,,c3367060-856b-11d9-8486-b8a03c50a862,34.84,135.489,,,,,,,1988-09-04T00:00:00,4,9,1988,4408321,4408321,PRESERVED_SPECIMEN,OMNH,Iv,1139,,,,CC_BY_NC_4_0,,Hirotaka ENDO; et al.,,,2023-09-07T06:18:43.303Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
729653607,7201065d-95ac-4706-bb2b-9fd04209fc8d,urn:catalog:OMNH:Iv:1024,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,,JP,,Osaka,PRESENT,,c3367060-856b-11d9-8486-b8a03c50a862,34.842602,135.483,,,,,,,1985-08-16T00:00:00,16,8,1985,4408321,4408321,PRESERVED_SPECIMEN,OMNH,Iv,1024,,,,CC_BY_NC_4_0,,Itaru TETSUKAWA,,,2023-09-07T06:18:43.299Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
729652715,7201065d-95ac-4706-bb2b-9fd04209fc8d,urn:catalog:OMNH:Iv:126,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,,JP,,Osaka,PRESENT,,c3367060-856b-11d9-8486-b8a03c50a862,34.680801,135.464,,,,,,,1976-07-08T00:00:00,8,7,1976,4408321,4408321,PRESERVED_SPECIMEN,OMNH,Iv,126,,,,CC_BY_NC_4_0,,Kiyoshi KOIZUMI(Pronunciation of family and first name is uncertain),,,2023-09-07T06:18:43.371Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
729652654,7201065d-95ac-4706-bb2b-9fd04209fc8d,urn:catalog:OMNH:Iv:43,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,,JP,,Osaka,PRESENT,,c3367060-856b-11d9-8486-b8a03c50a862,34.673,135.44099,,,,,,,1973-07-06T00:00:00,6,7,1973,4408321,4408321,PRESERVED_SPECIMEN,OMNH,Iv,43,,,,CC_BY_NC_4_0,,KOIZUMI; ?(Pronunciaiton of first name is unknown),,,2023-09-07T06:18:43.292Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
