gbifID,scientificName,decimalLatitude,decimalLongitude,elevation,depth,present
890046041,Ciona intestinalis (Linnaeus; 1767),55.8396,11.7288,0.0,3.0,1
609466169,Ciona intestinalis (Linnaeus; 1767),37.80628,-122.44479,,1.0,1
609466125,Ciona intestinalis (Linnaeus; 1767),37.80705,-122.44291,,1.0,1
609465342,Ciona intestinalis (Linnaeus; 1767),37.80603,-122.44295,,1.0,1
609465338,Ciona intestinalis (Linnaeus; 1767),37.80603,-122.44295,,1.0,1
609465195,Ciona intestinalis (Linnaeus; 1767),37.58872,-122.3175,,1.0,1
609464310,Ciona intestinalis (Linnaeus; 1767),37.8114,-122.40896,,1.0,1
609464293,Ciona intestinalis (Linnaeus; 1767),37.86481,-122.31417,,1.0,1
609464187,Ciona intestinalis (Linnaeus; 1767),37.50292,-122.21404,,1.0,1
609464175,Ciona intestinalis (Linnaeus; 1767),37.76599,-122.28346,,1.0,1
609464137,Ciona intestinalis (Linnaeus; 1767),37.77913,-122.25211,,1.0,1
609464101,Ciona intestinalis (Linnaeus; 1767),37.81583,-122.3696,,1.0,1
609464072,Ciona intestinalis (Linnaeus; 1767),37.87197,-122.46128,,1.0,1
609464041,Ciona intestinalis (Linnaeus; 1767),37.87104,-122.49829,,1.0,1
609464004,Ciona intestinalis (Linnaeus; 1767),37.86876,-122.49637,,1.0,1
609463996,Ciona intestinalis (Linnaeus; 1767),37.78149,-122.38711,,1.0,1
609463934,Ciona intestinalis (Linnaeus; 1767),37.50244,-122.2133,,1.0,1
609463902,Ciona intestinalis (Linnaeus; 1767),37.86588,-122.31435,,1.0,1
609463169,Ciona intestinalis (Linnaeus; 1767),37.78155,-122.38555,,1.0,1
609460214,Ciona intestinalis (Linnaeus; 1767),37.78144,-122.38715,,1.0,1
609460169,Ciona intestinalis (Linnaeus; 1767),37.86884,-122.49686,,1.0,1
609460146,Ciona intestinalis (Linnaeus; 1767),37.86875,-122.49637,,1.0,1
609460124,Ciona intestinalis (Linnaeus; 1767),37.86875,-122.49637,,1.0,1
609460090,Ciona intestinalis (Linnaeus; 1767),37.50083,-122.22434,,1.0,1
609460043,Ciona intestinalis (Linnaeus; 1767),37.69631,-122.1932,,1.0,1
609460023,Ciona intestinalis (Linnaeus; 1767),37.69811,-122.19209,,1.0,1
609460007,Ciona intestinalis (Linnaeus; 1767),37.58766,-122.31751,,1.0,1
609460006,Ciona intestinalis (Linnaeus; 1767),37.5903,-122.31591,,1.0,1
609459947,Ciona intestinalis (Linnaeus; 1767),37.91343,-122.35354,,1.0,1
609459881,Ciona intestinalis (Linnaeus; 1767),37.58775,-122.31741,,1.0,1
609459873,Ciona intestinalis (Linnaeus; 1767),37.58956,-122.31585,,1.0,1
609459855,Ciona intestinalis (Linnaeus; 1767),37.77983,-122.25514,,1.0,1
609459820,Ciona intestinalis (Linnaeus; 1767),37.7659,-122.28281,,1.0,1
609459807,Ciona intestinalis (Linnaeus; 1767),37.76657,-122.28685,,1.0,1
609459738,Ciona intestinalis (Linnaeus; 1767),37.76533,-122.28341,,1.0,1
609459726,Ciona intestinalis (Linnaeus; 1767),37.7665,-122.28727,,1.0,1
609459708,Ciona intestinalis (Linnaeus; 1767),37.77863,-122.25457,,1.0,1
609459683,Ciona intestinalis (Linnaeus; 1767),37.77955,-122.25305,,1.0,1
609459665,Ciona intestinalis (Linnaeus; 1767),37.81582,-122.36956,,1.0,1
609459643,Ciona intestinalis (Linnaeus; 1767),37.8114,-122.41003,,1.0,1
609459621,Ciona intestinalis (Linnaeus; 1767),37.8114,-122.41003,,1.0,1
609459606,Ciona intestinalis (Linnaeus; 1767),37.78146,-122.38709,,1.0,1
609459553,Ciona intestinalis (Linnaeus; 1767),37.80708,-122.44232,,1.0,1
609459399,Ciona intestinalis (Linnaeus; 1767),37.86921,-122.49724,,1.0,1
609459352,Ciona intestinalis (Linnaeus; 1767),37.81582,-122.36945,,1.0,1
609459268,Ciona intestinalis (Linnaeus; 1767),37.66411,-122.37451,,1.0,1
